rx 480,150
rx 580,170
gtx 980,150
gtx 980 ti,200
gtx 1060,170
gtx 1070,280
gtx 1080,450
gtx 1080 ti,450
gtx 1650,150
gtx 1650 super,200
gtx 1650 ti,200
gtx 1660,250
gtx 1660 super,300
gtx 1660 ti,300
rtx 3060 ti,800
rtx 3080 ti,900
rtx 3080,900
